address,station_id,latitude,longitude,name,rf_mae,rf_mse,rf_rmse,rf_r2,rf_accuracy,15m_mae,15m_mse,15m_rmse,15m_r2,30m_mae,30m_mse,30m_rmse,30m_r2,45m_mae,45m_mse,45m_rmse,45m_r2,60m_mae,60m_mse,60m_rmse,60m_r2,90m_mae,90m_mse,90m_rmse,90m_r2,120m_mae,120m_mse,120m_rmse,120m_r2
Pearse Street,32,53.344303,-6.250426999999998,PEARSE STREET,0.4955605420000001,1.947116792,1.395391268,0.955616038,0.733656942,0.7001120609189055,2.2851479809906654,1.5116705927518288,0.957376032094104,1.1314248973744958,4.64106731293315,2.1543136524037423,0.9135758790435584,1.4739919650595,6.845364728735031,2.616364792748716,0.8727405463545795,1.8017822893169508,9.059337749791961,3.0098733777007896,0.8318623131198549,2.3648798887783893,13.06389577427551,3.614401163993216,0.7583493256568717,2.7923706472162504,16.663161199791297,4.082053551803466,0.6928047264454253
Princes Street / O'Connell Street,33,53.349014,-6.260311,PRINCES STREET / O'CONNELL STREET,1.023738945,5.804600799,2.409273915,0.8870293029999999,0.580538475,1.8275627334305125,9.662873067635266,3.1085162164021707,0.7930368823108733,2.8301690880894537,18.115053235791525,4.256178242953592,0.6125796634595615,3.6027673921240804,24.74021983969046,4.9739541453144165,0.4716745008998631,4.190339876896523,29.616397056735288,5.442094914344593,0.3684837073801371,4.7825751964609005,35.209619731352866,5.933769436989684,0.25145209882556696,4.982947639937981,37.207618517780254,6.099804793415954,0.21133524042173912
Portobello Harbour,34,53.33036,-6.2651629999999985,PORTOBELLO HARBOUR,0.8843001490000001,4.023927776,2.005973025,0.943746629,0.586230519,1.264142368862216,5.429760281169946,2.3301846023802377,0.9125375949396054,1.9844516971594424,11.024741517563386,3.3203526194612807,0.8227170256536653,2.539594783874761,16.47295316602774,4.058688601756452,0.7355602962104701,3.060569130945531,21.872531771414717,4.676807861289014,0.649482613136928,3.883303963897817,31.85327459191772,5.64387053288058,0.4912887083271856,4.560489171283822,40.43150661777333,6.35857740518847,0.35651437162561805
Smithfield,35,53.34769100000001,-6.278214,SMITHFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Stephen's Green East,36,53.337826,-6.256035,ST. STEPHEN'S GREEN EAST,0.332276809,1.105903957,1.051619683,0.979269702,0.798782482,0.4536078526549225,0.8622245761130454,0.928560485974417,0.9707641543735904,0.7633425670923827,1.802894628068181,1.3427191173392077,0.9387265866229928,0.9729143629715206,2.6709296654241657,1.6342979120785064,0.9090122970860429,1.1918830089126755,3.6393330426414976,1.9077036045050333,0.8757281439415902,1.6059184347425384,5.653322129458347,2.3776715772911845,0.8060215427288384,1.9329826096261076,7.531807958758825,2.74441395542998,0.7402840109264368
St. Stephen's Green South,37,53.33749399999999,-6.26199,ST. STEPHEN'S GREEN SOUTH,0.215428571,0.644645963,0.802898476,0.98276549,0.857714286,0.260500241480067,0.33893025232285884,0.5821771657518515,0.9906136242871778,0.43494059477983793,0.6689068188766305,0.8178672379284003,0.9814808526220556,0.5715143703552115,1.0116423256541125,1.0058043177746416,0.9720003964402362,0.7027845168838845,1.3207988058570557,1.1492601123579709,0.9634545878194596,0.9195862387556222,2.0076374081003814,1.41691122096636,0.9444825508785324,1.0589969575786675,2.7216495635486018,1.6497422718560018,0.9247802636294314
Talbot Street,38,53.350975,-6.25294,TALBOT STREET,0.6792347059999999,2.641944918,1.625406078,0.972966993,0.6263709479999999,0.8870016425415032,2.7059830832878324,1.6449872593086647,0.9716514143843956,1.394386486844465,6.1083869999504135,2.4715151223390097,0.9361135866409472,1.6908164197002096,9.053030960896137,3.00882551187272,0.9054741900131288,1.9823092432284048,11.866065202946338,3.4447155474648903,0.8763094952808331,2.510868304977596,17.738514302180608,4.211711564456974,0.8157151269661026,2.9384409198545685,22.97556153966539,4.793282960525634,0.7621098241876234
Wilton Terrace,39,53.332382,-6.252717,WILTON TERRACE,0.472733511,1.142373961,1.068818956,0.953892986,0.6967476290000001,0.7589422414771629,1.8310435728858987,1.3531605865106693,0.8999867536517075,1.1596174676335909,3.700703972072081,1.9237213862906657,0.7981432748946433,1.4920024548455604,5.69545946860698,2.386516178157395,0.6897677399793717,1.799747549670538,7.712279027062866,2.7770990308346706,0.5804927017910178,2.3009905445339083,11.593177516416006,3.4048755507971222,0.3711395174597505,2.703720438429753,14.928767220086756,3.863776290119131,0.1924528113103268
Jervis Street,40,53.348301,-6.266651,JERVIS STREET,0.583223055,2.005905994,1.416300107,0.949409042,0.687938048,1.0126169729900407,4.577225956480282,2.1394452450297208,0.8998193630427938,1.6453564935174871,9.25966216054618,3.042969299967744,0.7972655598712269,2.1253916389903007,13.510571028044266,3.675672867386904,0.7040892081236759,2.46578094523488,16.671477225503196,4.0830720328575145,0.6347252209656868,3.1148850487964364,23.574171944142428,4.855324082297949,0.4830951503526214,3.6188887057140464,28.586563095625888,5.346640355926876,0.3726927076721678
Harcourt Terrace,41,53.33276400000001,-6.257942,HARCOURT TERRACE,0.221625992,0.5084533960000001,0.713059181,0.97473543,0.843624424,0.22574953349483776,0.25622706139632456,0.5061887606380889,0.9841205409200724,0.3719382796256283,0.4593180466521796,0.6777300691663161,0.971524552913712,0.4771954023853292,0.6391329211300864,0.7994578920306474,0.960363227522057,0.5813036265090348,0.8240250461783475,0.9077582531590376,0.9488787669846008,0.7445563627950085,1.1642884301667924,1.0790219785374129,0.9277162702107644,0.8877555154283404,1.5440911752947126,1.24261465277644,0.90406269744073
Smithfield North,42,53.349564,-6.2781980000000015,SMITHFIELD NORTH,0.651693024,2.165712622,1.471636036,0.961626614,0.6360483170000001,0.8742613030412638,2.4382291787293844,1.5614830062249745,0.8972297735497625,1.3646754910255754,5.0198075976781436,2.240492713149977,0.7887768594530845,1.7658970524558602,7.605794139535702,2.757860427856294,0.6805084551503795,2.064946606707762,10.1864950943889,3.1916289092544727,0.5728320095907923,2.561949850950289,15.083748119048064,3.883780132686204,0.3696269588894594,3.0285412886419176,19.758498592679626,4.445053272198166,0.17709131475106898
Portobello Road,43,53.33009000000001,-6.2680440000000015,PORTOBELLO ROAD,0.65922507,2.717624195,1.648521821,0.955664066,0.660779789,0.9876157639343064,4.0935885522981135,2.0232618595471306,0.9410609412069626,1.5622248768617453,7.850203488216483,2.8018214590184867,0.8871152556009725,2.0232646348203445,11.669688108965847,3.4160925205511994,0.8324021496314835,2.4587367404470863,15.758818961685126,3.969737895842133,0.7739589895541328,3.2248824441406545,23.12280349834569,4.8086176286273465,0.6691650440394425,3.8505660056350943,30.073055399078807,5.4838905349285385,0.5708057611581687
Upper Sherrard Street,44,53.358437,-6.2606410000000015,UPPER SHERRARD STREET,0.820230775,3.547833117,1.883569249,0.961012107,0.6037874520000001,1.119931685018034,4.915452242566252,2.217081920580801,0.925317507383437,1.790617454490945,9.797611585330397,3.1301136697139924,0.8506923063902976,2.389475805174381,14.687257266309993,3.832395760658076,0.7754954790457609,2.9412822847393403,20.11574002904908,4.485057416471842,0.6915684247646223,3.8246885596621074,30.431953686633648,5.516516444880197,0.5304536266781228,4.5240739943589485,40.92263597712492,6.397080269710934,0.36451537831885306
Deverell Place,45,53.351463,-6.2552650000000005,DEVERELL PLACE,0.321863729,0.932400819,0.96560904,0.985789812,0.7853104590000001,0.4578085191684075,0.9531024095770892,0.9762696397907134,0.969562689529225,0.7272564439208123,1.8365778003329776,1.3552039700107794,0.941384086919056,0.9399210096889504,2.57343906665021,1.6041942110138068,0.9179156107906088,1.116015483927635,3.2431967079098496,1.8008877555000058,0.8966140694811123,1.4105011942735195,4.678406969379666,2.16296254460859,0.8510391611044741,1.6912300051486242,6.3177269912825365,2.5135089001796938,0.7990791351729164
Strand Street Great,46,53.34708000000001,-6.264192,STRAND STREET GREAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert Street,47,53.33574300000001,-6.24551,HERBERT STREET,0.191167822,0.533408341,0.730348096,0.976123559,0.8684634459999999,0.2736239446608946,0.6553027078329325,0.8095076947336156,0.9602062210807892,0.4802476593641735,1.3878742792682024,1.1780807609277908,0.9157757578749603,0.6660837474551133,2.147677798842098,1.4654957519017575,0.869752106254525,0.8328936222097032,2.886635398049476,1.6990101229979402,0.8250520112394759,1.1178145618873567,4.306504874522581,2.0752120071266407,0.7393393848596741,1.3510875027029678,5.618682641913292,2.370376054956954,0.6603575788670963
Excise Walk,48,53.34777800000001,-6.244239,EXCISE WALK,0.48408088,1.653693685,1.285960219,0.97109532,0.710962627,0.6490021938355675,1.1600024996575529,1.0770341218631625,0.9589344461813772,1.026404013156664,2.4816247464046146,1.5753173478396707,0.9122841642357334,1.32353172451582,3.80850005245734,1.9515378685686169,0.8655942129884286,1.537594176495502,5.180163720839008,2.2759973024674283,0.8174723907333954,1.9064385825721424,8.029060179075362,2.8335596304075485,0.7179741979397304,2.3257138927238588,11.341855142412793,3.367767085534983,0.602860469641786
Guild Street,49,53.347931,-6.240928,GUILD STREET,0.539617586,2.226281817,1.492072993,0.971957731,0.700450615,0.6996131401426002,1.8323069050343268,1.353627313936272,0.9633277606929506,1.0313412108775786,3.497867416003119,1.8702586494929299,0.9299258117399648,1.2803246126217598,5.1097544036441285,2.2604765877230686,0.8975348372402873,1.5069807186895543,6.793761833614623,2.606484573830166,0.8636315120581777,1.8727944927448281,10.15424605649794,3.186572775961337,0.7957675552859402,2.156274969838574,12.844026820835486,3.5838564174413414,0.7411330927129276
George's Lane,50,53.35023100000001,-6.279696,GEORGES LANE,0.623642235,2.152118603,1.467010089,0.980491053,0.645953616,0.9588054877754364,2.4905039109171834,1.5781330460126557,0.9687754406148044,1.497975057928923,5.609337961703128,2.3684040959479717,0.9297512216086364,1.9176031171426928,8.71760327012728,2.9525587665831954,0.8909458590027968,2.2937332477069803,11.956025328193428,3.4577485923926607,0.8506003456904988,2.958472815643997,18.69303575819813,4.3235443513624485,0.7669347803057189,3.4786731080813396,24.107188450192922,4.909907173276591,0.7000986990316145
